50.00,Food,2025-01-03,Grocery run at Walmart
12.50,Food,2025-01-05,Chipotle lunch
8.99,Entertainment,2025-01-06,Netflix subscription
45.00,Transport,2025-01-07,Gas fill-up
120.00,Utilities,2025-01-08,Electric bill
15.00,Food,2025-01-10,Starbucks coffee runs
22.00,Food,2025-01-12,Thai takeout
60.00,Shopping,2025-01-14,New shirt at Target
35.00,Transport,2025-01-15,Uber rides
900.00,Rent,2025-01-01,January rent
9.99,Entertainment,2025-01-18,Spotify premium
75.00,Food,2025-01-20,Weekly groceries
18.00,Food,2025-01-22,Pizza delivery
40.00,Health,2025-01-23,Pharmacy — vitamins
55.00,Transport,2025-02-01,Gas fill-up
900.00,Rent,2025-02-01,February rent
65.00,Food,2025-02-03,Grocery run
14.00,Food,2025-02-05,Lunch at campus cafe
8.99,Entertainment,2025-02-06,Netflix subscription
9.99,Entertainment,2025-02-06,Spotify premium
130.00,Utilities,2025-02-07,Electric and water bill
28.00,Food,2025-02-09,Sushi dinner
45.00,Shopping,2025-02-12,Amazon order
20.00,Transport,2025-02-14,Uber to airport
85.00,Food,2025-02-17,Grocery run
12.00,Food,2025-02-19,Chipotle
30.00,Health,2025-02-20,Gym day pass
50.00,Transport,2025-02-22,Gas fill-up
900.00,Rent,2025-03-01,March rent
70.00,Food,2025-03-03,Grocery run
8.99,Entertainment,2025-03-06,Netflix subscription
9.99,Entertainment,2025-03-06,Spotify premium
115.00,Utilities,2025-03-08,Electric bill
42.00,Transport,2025-03-09,Gas fill-up
25.00,Food,2025-03-11,Dinner out with friends
18.50,Food,2025-03-13,Lunch
95.00,Shopping,2025-03-15,Clothes shopping
60.00,Health,2025-03-17,Doctor copay
35.00,Food,2025-03-20,Grocery top-up
15.00,Entertainment,2025-03-23,Movie tickets
